#Release 14.3 - par P.40xd (lin64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue Feb  2 18:12:45 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       telescope_map.ncd
#OUTPUT FILE:      telescope_pad.csv
#PART TYPE:        xc5vlx50
#SPEED GRADE:      -2
#PACKAGE:          ff676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
V2,sdo_H_p,IOBM,IO_L13P_14,OUTPUT,LVDS_25,14,,,,,,LOCATED,NO,NONE,
V3,aux_2,IOB,IO_L0P_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
V4,resetIn,IOB,IO_L4P_18,INPUT,LVCMOS33,18,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
V5,,,VCCO_14,,,14,,,,,2.50,,,,
V6,galIO<0>,IOB,IO_L6P_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
V7,aux_1,IOB,IO_L6N_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
V8,,,GND,,,,,,,,,,,,
V9,,,VCCINT,,,,,,,,1.0,,,,
V10,,,GND,,,,,,,,,,,,
V11,,,TDI_0,,,,,,,,,,,,
V12,,,TMS_0,,,,,,,,,,,,
V13,,,VCCINT,,,,,,,,1.0,,,,
V14,,,GND,,,,,,,,,,,,
V15,,,VCCINT,,,,,,,,1.0,,,,
V16,,,GND,,,,,,,,,,,,
V17,,,VCCAUX,,,,,,,,2.5,,,,
V18,,,M2_0,,,,,,,,,,,,
V19,,IOBM,IO_L15P_17,UNUSED,,17,,,,,,,,,
V20,,,GND,,,,,,,,,,,,
V21,,IOBM,IO_L12P_VRN_17,UNUSED,,17,,,,,,,,,
V22,,IOBS,IO_L12N_VRP_17,UNUSED,,17,,,,,,,,,
V23,,IOBS,IO_L5N_17,UNUSED,,17,,,,,,,,,
V24,,IOBM,IO_L5P_17,UNUSED,,17,,,,,,,,,
V25,,,VCCO_17,,,17,,,,,2.50,,,,
V26,adcQ3_p<3>,IOB,IO_L14P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
W1,sdi_n,IOB,IO_L14N_VREF_14,INPUT,LVDS_25,14,,,,NONE,,LOCATED,NO,DIFF_TERM,
W2,,,VCCO_14,,,14,,,,,2.50,,,,
W3,galIO<1>,IOB,IO_L5P_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
W4,galIO<2>,IOB,IO_L4N_VREF_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
W5,ioFpga_22,IOB,IO_L7P_18,INPUT,LVCMOS33,18,,,,NONE,,LOCATED,NO,NONE,
W6,aux_0,IOB,IO_L7N_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
W7,,,GND,,,,,,,,,,,,
W8,,,VCCAUX,,,,,,,,2.5,,,,
W9,,,GND,,,,,,,,,,,,
W10,,,TDO_0,,,,,,,,,,,,
W11,,,D_OUT_BUSY_0,,,,,,,,,,,,
W12,,,VCCO_0,,,0,,,,,any******,,,,
W13,,,GND,,,,,,,,,,,,
W14,,,VCCINT,,,,,,,,1.0,,,,
W15,,,GND,,,,,,,,,,,,
W16,,,VCCAUX,,,,,,,,2.5,,,,
W17,,,GND,,,,,,,,,,,,
W18,,,M0_0,,,,,,,,,,,,
W19,ioFpga_8,IOB,IO_L15N_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,LOCATED,NO,NONE,
W20,,IOBS,IO_L13N_17,UNUSED,,17,,,,,,,,,
W21,,IOBM,IO_L13P_17,UNUSED,,17,,,,,,,,,
W22,,,VCCO_17,,,17,,,,,2.50,,,,
W23,,IOBS,IO_L4N_VREF_17,UNUSED,,17,,,,,,,,,
W24,,IOBM,IO_L4P_17,UNUSED,,17,,,,,,,,,
W25,adcQ3_p<4>,IOB,IO_L16P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
W26,adcQ3_n<4>,IOB,IO_L16N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
Y1,sdi_p,IOB,IO_L14P_14,INPUT,LVDS_25,14,,,,NONE,,LOCATED,NO,DIFF_TERM,
Y2,,IOBS,IO_L15N_14,UNUSED,,14,,,,,,,,,
Y3,galIO<3>,IOB,IO_L5N_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
Y4,,,GND,,,,,,,,,,,,
Y5,,IOBS,IO_L8N_CC_18,UNUSED,,18,,,,,,,,,
Y6,,IOBM,IO_L8P_CC_18,UNUSED,,18,,,,,,,,,
Y7,galClk,IOB,IO_L10P_CC_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
Y8,,IOBM,IO_L2P_A23_2,UNUSED,,2,,,,,,,,,
Y9,,,VCCO_0,,,0,,,,,any******,,,,
Y10,,IOBM,IO_L0P_CC_RS1_2,UNUSED,,2,,,,,,,,,
Y11,,IOBS,IO_L0N_CC_RS0_2,UNUSED,,2,,,,,,,,,
Y12,,IOBM,IO_L6P_D7_2,UNUSED,,2,,,,,,,,,
Y13,,IOBS,IO_L6N_D6_2,UNUSED,,2,,,,,,,,,
Y14,,,GND,,,,,,,,,,,,
Y15,,,VCCINT,,,,,,,,1.0,,,,
Y16,,,GND,,,,,,,,,,,,
Y17,,,M1_0,,,,,,,,,,,,
Y18,,IOBS,IO_L1N_CC_A24_2,UNUSED,,2,,,,,,,,,
Y19,,,GND,,,,,,,,,,,,
Y20,,IOBS,IO_L16N_17,UNUSED,,17,,,,,,,,,
Y21,,IOBM,IO_L16P_17,UNUSED,,17,,,,,,,,,
Y22,,IOBS,IO_L7N_17,UNUSED,,17,,,,,,,,,
Y23,lt,IOB,IO_L7P_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,LOCATED,NO,NONE,
Y24,,,GND,,,,,,,,,,,,
Y25,adcQ3_p<5>,IOB,IO_L17P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
Y26,adcQ3_n<5>,IOB,IO_L17N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
